2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Breathe - Faith Hill,Hanging by a Moment - Lifehouse,How You Remind Me - Nickelback,In da Club - 50 Cent,Yeah! - Usher featuring Lil Jon and Ludacris,We Belong Together - Mariah Carey,Bad Day - Daniel Powter,Irreplaceable - Beyoncé,Low - Flo Rida featuring T-Pain,Boom Boom Pow - The Black Eyed Peas,Tik Tok - Kesha,Rolling in the Deep - Adele,Somebody That I Used to Know - Gotye featuring Kimbra,Thrift Shop - Macklemore & Ryan Lewis featuring Wanz,Happy - Pharrell Williams,Uptown Funk - Mark Ronson featuring Bruno Mars,Love Yourself - Justin Bieber,Shape of You - Ed Sheeran,God's Plan - Drake,Old Town Road - Lil Nas X featuring Billy Ray Cyrus,Blinding Lights - The Weeknd,Levitating - Dua Lipa,Heat Waves - Glass Animals,Last Night - Morgan Wallen,Lose Control - Teddy Swims
Smooth - Santana featuring Rob Thomas,Fallin' - Alicia Keys,Foolish - Ashanti,Ignition - R. Kelly,Burn - Usher,Hollaback Girl - Gwen Stefani,Temperature - Sean Paul,Umbrella - Rihanna featuring Jay-Z,Bleeding Love - Leona Lewis,Poker Face - Lady Gaga,Need You Now - Lady Antebellum,Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock,Call Me Maybe - Carly Rae Jepsen,Blurred Lines - Robin Thicke featuring T.I. and Pharrell Williams,Dark Horse - Katy Perry featuring Juicy J,Thinking Out Loud - Ed Sheeran,Sorry - Justin Bieber,Despacito (Remix) - Luis Fonsi and Daddy Yankee featuring Justin Bieber,Perfect - Ed Sheeran,Sunflower - Post Malone and Swae Lee,Circles - Post Malone,Save Your Tears - The Weeknd and Ariana Grande,As It Was - Harry Styles,Flowers - Miley Cyrus,A Bar Song (Tipsy) - Shaboozey
Maria Maria - Santana featuring The Product G&B,All for You - Janet Jackson,Hot in Herre - Nelly,Get Busy - Sean Paul,If I Ain't Got You - Alicia Keys,Let Me Love You - Mario,Promiscuous - Nelly Furtado featuring Timbaland,The Sweet Escape - Gwen Stefani featuring Akon,No One - Alicia Keys,Just Dance - Lady Gaga featuring Colby O'Donis,"Hey, Soul Sister - Train",Firework - Katy Perry,We Are Young - Fun featuring Janelle Monáe,Radioactive - Imagine Dragons,All of Me - John Legend,See You Again - Wiz Khalifa featuring Charlie Puth,One Dance - Drake featuring Wizkid and Kyla,That's What I Like - Bruno Mars,Meant to Be - Bebe Rexha featuring Florida Georgia Line,Without Me - Halsey,The Box - Roddy Ricch,Blinding Lights - The Weeknd,Stay - The Kid Laroi and Justin Bieber,Kill Bill - SZA,Beautiful Things - Benson Boone
I Wanna Know - Joe,Drops of Jupiter (Tell Me) - Train,Dilemma - Nelly featuring Kelly Rowland,Crazy in Love - Beyoncé featuring Jay-Z,This Love - Maroon 5,Since U Been Gone - Kelly Clarkson,You're Beautiful - James Blunt,Big Girls Don't Cry - Fergie,Lollipop - Lil Wayne featuring Static Major,I Gotta Feeling - The Black Eyed Peas,California Gurls - Katy Perry featuring Snoop Dogg,E.T. - Katy Perry featuring Kanye West,Payphone - Maroon 5 featuring Wiz Khalifa,Harlem Shake - Baauer,Fancy - Iggy Azalea featuring Charli XCX,Trap Queen - Fetty Wap,Work - Rihanna featuring Drake,Humble - Kendrick Lamar,Havana - Camila Cabello featuring Young Thug,Bad Guy - Billie Eilish,Don't Start Now - Dua Lipa,Mood - 24kGoldn featuring Iann Dior,Easy on Me - Adele,Anti-Hero - Taylor Swift,I Had Some Help - Post Malone featuring Morgan Wallen
Everything You Want - Vertical Horizon,I'm Real (Murder Remix) - Jennifer Lopez featuring Ja Rule,Wherever You Will Go - The Calling,When I'm Gone - 3 Doors Down,The Way You Move - OutKast featuring Sleepy Brown,"1, 2 Step - Ciara featuring Missy Elliott",Hips Don't Lie - Shakira featuring Wyclef Jean,Buy U a Drank (Shawty Snappin') - T-Pain featuring Yung Joc,Apologize - OneRepublic,Love Story - Taylor Swift,OMG - Usher featuring will.i.am,"Give Me Everything - Pitbull featuring Ne-Yo, Afrojack and Nayer",Lights - Ellie Goulding,Can't Hold Us - Macklemore & Ryan Lewis featuring Ray Dalton,Counting Stars - OneRepublic,Sugar - Maroon 5,Stressed Out - Twenty One Pilots,Something Just Like This - The Chainsmokers and Coldplay,Rockstar - Post Malone featuring 21 Savage,Wow - Post Malone,Rockstar - DaBaby featuring Roddy Ricch,Good 4 U - Olivia Rodrigo,Shivers - Ed Sheeran,"Creepin' - Metro Boomin, the Weeknd and 21 Savage",Lovin on Me - Jack Harlow
Say My Name - Destiny's Child,If You're Gone - Matchbox Twenty,A Thousand Miles - Vanessa Carlton,Unwell - Matchbox Twenty,The Reason - Hoobastank,Gold Digger - Kanye West featuring Jamie Foxx,Unwritten - Natasha Bedingfield,Before He Cheats - Carrie Underwood,No Air - Jordin Sparks and Chris Brown,Right Round - Flo Rida,Airplanes - B.o.B featuring Hayley Williams,Grenade - Bruno Mars,Glad You Came - The Wanted,Mirrors - Justin Timberlake,Talk Dirty - Jason Derulo featuring 2 Chainz,Shut Up and Dance - Walk the Moon,Panda - Desiigner,Bad and Boujee - Migos featuring Lil Uzi Vert,Psycho - Post Malone featuring Ty Dolla Sign,Happier - Marshmello and Bastille,Adore You - Harry Styles,Kiss Me More - Doja Cat featuring SZA,First Class - Jack Harlow,Calm Down - Rema and Selena Gomez,Not Like Us - Kendrick Lamar
I Knew I Loved You - Savage Garden,Let Me Blow Ya Mind - Eve featuring Gwen Stefani,In the End - Linkin Park,Right Thurr - Chingy,I Don't Wanna Know - Mario Winans featuring Enya and P. Diddy,Boulevard of Broken Dreams - Green Day,Crazy - Gnarls Barkley,Hey There Delilah - Plain White T's,Love Song - Sara Bareilles,I'm Yours - Jason Mraz,Love the Way You Lie - Eminem featuring Rihanna,Fuck You (Forget You) - CeeLo Green,Stronger (What Doesn't Kill You) - Kelly Clarkson,Just Give Me a Reason - Pink featuring Nate Ruess,Rude - Magic!,Blank Space - Taylor Swift,Hello - Adele,Closer - The Chainsmokers featuring Halsey,"I Like It - Cardi B, Bad Bunny and J Balvin",7 Rings - Ariana Grande,Life Is Good - Future featuring Drake,Leave the Door Open - Silk Sonic (Bruno Mars and Anderson .Paak),Big Energy - Latto,Die for You - The Weeknd and Ariana Grande,Espresso - Sabrina Carpenter
Amazed - Lonestar,Thank You - Dido,What's Luv? - Fat Joe featuring Ashanti,Miss You - Aaliyah,Hey Ya! - OutKast,Candy Shop - 50 Cent featuring Olivia,Ridin' - Chamillionaire featuring Krayzie Bone,I Wanna Love You - Akon featuring Snoop Dogg,Love in This Club - Usher featuring Young Jeezy,Single Ladies (Put a Ring on It) - Beyoncé,Bad Romance - Lady Gaga,Super Bass - Nicki Minaj,We Found Love - Rihanna featuring Calvin Harris,When I Was Your Man - Bruno Mars,All About That Bass - Meghan Trainor,Watch Me - Silentó,Don't Let Me Down - The Chainsmokers featuring Daya,Body Like a Back Road - Sam Hunt,"The Middle - Zedd, Maren Morris and Grey",Talk - Khalid,Memories - Maroon 5,Drivers License - Olivia Rodrigo,Ghost - Justin Bieber,Fast Car - Luke Combs,Million Dollar Baby - Tommy Richman
Bent - Matchbox Twenty,Again - Lenny Kravitz,U Got It Bad - Usher,Picture - Kid Rock featuring Sheryl Crow,Goodies - Ciara featuring Petey Pablo,Don't Cha - The Pussycat Dolls featuring Busta Rhymes,SexyBack - Justin Timberlake featuring Timbaland,Say It Right - Nelly Furtado,With You - Chris Brown,Heartless - Kanye West,Dynamite - Taio Cruz,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Starships - Nicki Minaj,Cruise - Florida Georgia Line featuring Nelly,Problem - Ariana Grande featuring Iggy Azalea,Earned It - The Weeknd,Can't Stop the Feeling! - Justin Timberlake,Believer - Imagine Dragons,In My Feelings - Drake,Sicko Mode - Travis Scott,The Bones - Maren Morris,Montero (Call Me by Your Name) - Lil Nas X,Super Gremlin - Kodak Black,Snooze - SZA,I Remember Everything - Zach Bryan featuring Kacey Musgraves
He Wasn't Man Enough - Toni Braxton,Independent Women Part I - Destiny's Child,Blurry - Puddle of Mudd,Bring Me to Life - Evanescence featuring Paul McCoy,Lean Back - Terror Squad featuring Fat Joe and Remy Ma,Behind These Hazel Eyes - Kelly Clarkson,Check on It - Beyoncé featuring Slim Thug and Bun B,Glamorous - Fergie featuring Ludacris,Forever - Chris Brown,Gives You Hell - The All-American Rejects,Break Your Heart - Taio Cruz featuring Ludacris,Just Can't Get Enough - The Black Eyed Peas,What Makes You Beautiful - One Direction,Roar - Katy Perry,Stay with Me - Sam Smith,The Hills - The Weeknd,Closer - The Chainsmokers featuring Halsey,Congratulations - Post Malone featuring Quavo,Girls Like You - Maroon 5 featuring Cardi B,Sucker - Jonas Brothers,Someone You Loved - Lewis Capaldi,Peaches - Justin Bieber featuring Daniel Caesar and Giveon,Cold Heart (Pnau Remix) - Elton John and Dua Lipa,I'm Good (Blue) - David Guetta and Bebe Rexha,Too Sweet - Hozier
